"","Season","LocationID","TaxonCode","ScientificName","CommonName","SpTot","SpCPUE","Length","Length_SD","Length_SE","Length_CI","Weights","CompAbu","CompBio"
"1",2006,"BUFFRMFISHBM01","ambcon","Ambloplites constellatus","Ozark bass",9,0.0651623024013515,55.2222222222222,14.5840476015558,4.86134920051859,9.52806934928902,3.44444444444444,0.640113798008535,0.285337434527412
"2",2006,"BUFFRMFISHBM01","amenat","Ameiurus natalis","Yellow bullhead",2,0.0144805116447448,87.5,9.19238815542512,6.5,12.7397658995103,10.5,0.142247510668563,0.193293100808892
"3",2006,"BUFFRMFISHBM01","camspp","Campostoma spp.","Stoneroller spp.",467,3.38119946904791,103.333333333333,19.8047944967241,3.61584423086998,7.08692446621209,15.6,33.2147937411095,67.0561380006162
"4",2006,"BUFFRMFISHBM01","chrery","Chrosomus erythrogaster","Southern redbelly dace",13,0.0941233256908411,54.6153846153846,8.93064444798976,2.47691511385884,4.85466441592624,1.69230769230769,0.924608819345662,0.202497534180744
"5",2006,"BUFFRMFISHBM01","cotcar","Cottus carolinae","Banded sculpin",115,0.832629419572825,82.8333333333333,16.8155989431269,3.07009428637022,6.01727423042783,9.06666666666667,8.17923186344239,9.59715586238435
"6",2006,"BUFFRMFISHBM01","ethaut","Etheostoma autmnale","Autumn darter",41,0.296850488717268,67.4473684210526,11.7489444457929,1.9059304647829,3.73555506801217,3.42105263157895,2.91607396870555,1.29104289136766
"7",2006,"BUFFRMFISHBM01","ethble","Etheostoma blennioides","Greenside darter",18,0.130324604802703,79.8888888888889,13.3279400857036,3.14142560461634,6.15708104515999,5.61111111111111,1.28022759601707,0.929647770557052
"8",2006,"BUFFRMFISHBM01","ethcae","Etheostoma caeruleum","Rainbow darter",397,2.87438156148184,52.7333333333333,7.8693352185308,1.43673747058639,2.8159536975885,1.86666666666667,28.2361308677098,6.82109875743379
"9",2006,"BUFFRMFISHBM01","ethspe","Etheostoma spectabile","Orangethroat darter",34,0.246168697960661,44.5882352941176,7.1440487928821,1.22519426016833,2.40133662399512,1.05882352941176,2.41820768136558,0.331359601386672
"10",2006,"BUFFRMFISHBM01","funcat","Fundulus catenatus","Northern studfish",18,0.130324604802703,64.3888888888889,24.5791372291239,5.79335820347608,11.3547734283528,3.72222222222222,1.28022759601707,0.616697035914084
"11",2006,"BUFFRMFISHBM01","hypnig","Hypentelium nigricans","Northern hog sucker",1,0.00724025582237239,145,NA,NA,NA,36,0.0711237553342817,0.331359601386672
"12",2006,"BUFFRMFISHBM01","ichamm","Ichthyomyzon spp.","Ichthyomyzon ammocoete",19,0.137564860625075,136.157894736842,17.6486170622666,4.0488704351404,7.9356402309442,4.68421052631579,1.35135135135135,0.819194570094828
"13",2006,"BUFFRMFISHBM01","lepcya","Lepomis cyanellus","Green sunfish",13,0.0941233256908411,51.7692307692308,18.2763683762842,5.06895256230471,9.93496446145925,3.30769230769231,0.924608819345662,0.395790634989636
"14",2006,"BUFFRMFISHBM01","lepmeg","Lepomis megalotis","Longear sunfish",26,0.188246651381682,39.3076923076923,8.05366615036522,1.57945387910284,3.09567271828365,1.23076923076923,1.84921763869132,0.294541867899264
"15",2006,"BUFFRMFISHBM01","luxchr","Luxilus chrysocephalus","Striped shiner",3,0.0217207674671172,109.666666666667,28.2901631902917,16.3333333333333,32.0127450808209,15.6666666666667,0.213371266002845,0.432608368477044
"16",2006,"BUFFRMFISHBM01","luxpil","Luxilus pilsbryi","Duskystripe shiner",63,0.456136116809461,90.0333333333333,7.95887417672371,1.45308497297898,2.84799421351515,7.1,4.48079658605974,4.1171430472294
"17",2006,"BUFFRMFISHBM01","moxspp","Moxostoma spp.","Redhorse spp.",1,0.00724025582237239,NA,NA,NA,NA,NA,0.0711237553342817,NA
"18",2006,"BUFFRMFISHBM01","notboo","Notropis boops","Bigeye shiner",12,0.0868830698684687,41.3333333333333,5.77350269189626,1.66666666666667,3.26660664090009,0.583333333333333,0.85348506401138,0.064431033602964
"19",2006,"BUFFRMFISHBM01","notexi","Noturus exilis","Slender madtom",31,0.224447930493544,101.193548387097,20.0273468950811,3.59701768788603,7.05002512001016,10.1935483870968,2.20483641536273,2.90860094550523
