Season,LocationID,EventID,ChannelType,TransectNumber,SampleLocation,BankAngle,BankVegCover,BankHeight,BankSubstrate,LargeTrees,SmTreesShrubs,GrassForbes,BareRockSediment,Artificial,Comment,DETimeStamp
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,1,L,3,2,5,2,0,1,0,1,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,1,R,3,1,5,2,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,2,L,3,4,5,2,0,0,0,1,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,2,R,1,1,2,2,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,3,L,3,1,5,2,0,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,3,R,2,1,4,2,1,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,4,L,2,3,3,2,0,0,0,1,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,4,R,1,2,2,5,1,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,5,L,1,2,1,2,0,0,0,1,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,5,R,3,1,2,2,0,1,1,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,6,L,2,2,3,2,0,1,1,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,6,R,3,1,5,10,0,1,1,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,7,L,2,2,2,5,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,7,R,3,3,5,10,1,0,0,1,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,8,L,1,1,1,2,0,1,1,0,0,,12/3/2018
