Season,LocationID,EventID,ChannelType,TransectNumber,SampleLocation,ChannelUnit,PoolForm,Width_m,Depth_cm,Velocity_ms,DomSubstrate,DomSubstrateMidpoint,Embeddedness,EmbeddednessMidpoint,CanopyCover,CanopyCoverMidpoint,Comment,DETimeStamp
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,1,L,RI,N/A,16,20,0.100000001,17,109,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,1,M,RI,N/A,16,23,0.170000002,16,77,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,1,R,RI,N/A,16,22,0.189999998,14,38.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,2,L,GL,N/A,13.5,42,0.170000002,13,27.3,3,57.5,2,25,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,2,M,GL,N/A,13.5,30,0.25,15,54.5,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,2,R,GL,N/A,13.5,16,0.059999999,15,54.5,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,3,L,GL,N/A,15.7,33,0.209999993,13,27.3,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,3,M,GL,N/A,15.7,29,0.319999993,13,27.3,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,3,R,GL,N/A,15.7,15,0.119999997,13,27.3,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,4,L,RI,N/A,15.5,22,0.449999988,12,19.3,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,4,M,RI,N/A,15.5,25,0.360000014,14,38.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,4,R,RI,N/A,15.5,6,0.050000001,14,38.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,5,L,GL,N/A,20,42,0.050000001,12,19.3,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,5,M,GL,N/A,20,38,0.140000001,13,27.3,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,5,R,GL,N/A,20,40,0.07,13,27.3,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,6,L,GL,N/A,33,32,0.050000001,12,19.3,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,6,M,GL,N/A,33,54,0.050000001,17,109,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,6,R,GL,N/A,33,67,0.039999999,17,109,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,7,L,PGX,M,31,60,0.01,10,9.65,4,87.5,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,7,M,PGX,M,31,92,0.039999999,15,54.5,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,7,R,PGX,M,31,78,0.02,18,154,1,5,2,25,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,8,L,PO,M,28,120,0,8,4.85,4,87.5,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,8,M,PO,M,28,107,0.029999999,14,38.5,2,25,0,0,,12/3/2018
