Season,LocationID,EventID,ChannelType,DischargeNo,DistanceFromBank_m,Depth_cm,Velocity_ms,Comments,Units,DETimeStamp
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,1.00,0.00,0.00,0.00,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,2.00,1.00,21.00,0.09,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,3.00,2.00,24.00,0.11,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,4.00,3.00,22.00,0.15,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,5.00,4.00,30.00,0.11,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,6.00,5.00,24.00,0.18,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,7.00,6.00,30.00,0.19,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,8.00,7.00,32.00,0.19,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,9.00,8.00,29.00,0.24,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,10.00,9.00,34.00,0.20,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,11.00,10.00,31.00,0.19,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,12.00,11.00,13.00,0.13,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,13.00,12.00,10.00,0.05,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,14.00,13.00,18.00,0.08,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,15.00,14.00,8.00,0.02,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,16.00,15.00,6.00,0.03,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,17.00,16.00,2.00,0.00,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,18.00,17.00,1.00,0.00,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,1.00,0.00,0.00,0.00,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,2.00,1.00,2.00,0.00,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,3.00,2.00,24.00,0.13,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,4.00,3.00,26.00,0.25,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,5.00,4.00,40.00,0.33,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,6.00,5.00,38.00,0.43,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,7.00,6.00,38.00,0.21,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,8.00,7.00,36.00,0.12,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,9.00,8.00,30.00,0.31,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,10.00,9.00,16.00,0.21,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,11.00,10.00,13.00,0.16,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,12.00,11.00,11.00,0.21,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,13.00,12.00,13.00,0.16,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,14.00,13.00,12.00,0.24,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,15.00,14.00,8.00,0.18,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,16.00,15.00,7.00,0.09,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,17.00,16.00,2.00,0.00,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,1.00,0.00,0.00,0.00,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,2.00,1.00,28.00,0.71,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,3.00,2.00,42.00,0.48,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,4.00,3.00,36.00,0.60,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,5.00,4.00,44.00,0.63,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,6.00,5.00,50.00,0.61,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,7.00,6.00,38.00,0.72,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,8.00,7.00,40.00,0.02,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,9.00,8.00,18.00,0.03,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,1.00,0.00,0.00,0.00,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,2.00,2.00,50.00,0.13,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,3.00,4.00,46.00,0.26,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,4.00,6.00,39.00,0.24,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,5.00,8.00,52.00,0.33,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,6.00,10.00,49.00,0.39,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,7.00,12.00,40.00,0.52,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,8.00,14.00,38.00,0.41,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,9.00,16.00,32.00,0.35,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,10.00,18.00,31.00,0.19,,metric,12/10/2018 11:06
2006.00,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,11.00,20.00,36.00,0.15,,metric,12/10/2018 11:06
