Season,LocationID,EventID,SamplingGear,ChannelType,SamplingEffort_sec,NoSeineHauls,SeineReachLength_m,ReachLength_m,StreamWatershedArea_sqkm,DETimeStamp
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,1227,,,290,238,12/12/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,7060,,,290,238,12/12/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,backpack,main,2950,,,440,566,12/12/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,boat,main,1711,,,440,566,12/12/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,backpack & boat,main,4787,,,600,1274,12/12/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,boat,backwater_side,211,,,600,1274,12/12/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,backpack,main,2813,,,620,1975,12/12/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,boat,main,4186,,,620,1975,12/12/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,backpack,backwater_side,621,,,560,2478,12/12/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,backpack,main,5436,,,560,2478,12/12/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,boat,main,2675,,,560,2478,12/12/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,backpack,main,2488,,,726,2988,12/12/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,boat,main,3385,,,726,2988,12/12/2018
2006,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,backpack,main,2471,,,150,14,12/12/2018
2006,BUFFRMFISHBT09,BUFFRMFISH2006MAY30,backpack,main,2837,,,260,371,12/12/2018
2006,BUFFRMFISHBT09,BUFFRMFISH2006MAY30,boat,main,641,,,260,371,12/12/2018
2006,BUFFRMFISHBT22,BUFFRMFISH2006MAY25,backpack,main,2615,,,200,34,12/12/2018
