Season,LocationID,EventID,SamplingGear,ChannelType,CommonName,ScientificName,FederalProtectionStatusCode,IMD_LevelOfProtection,TaxonCode,TaxaFishNumber,TotalLength_mm,Weight_g,AnomalyID,Vouchered,NumObs,BatchID,BatchWT_g,Comments,FlaggedData_YN,OpsReviewFlaggedData_Comment,DETimeStamp
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,1.00,74.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,2.00,76.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,3.00,83.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,4.00,56.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,5.00,71.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,6.00,78.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,7.00,76.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,8.00,62.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,9.00,57.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,10.00,73.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,11.00,57.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,12.00,58.00,,N,0.00,1.00,1.00,40.00,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,13.00,,,N,-1.00,2.00,0.00,,Preserved,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Banded sculpin,Cottus carolinae,NFP,NP,cotcar,1.00,,,N,0.00,20.00,0.00,,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Duskystripe shiner,Luxilus pilsbryi,NFP,NP,luxpil,1.00,,,N,0.00,2.00,0.00,,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Greenside darter,Etheostoma blennioides,NFP,NP,ethble,1.00,83.00,6.00,N,0.00,1.00,0.00,,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Northern studfish,Fundulus catenatus,NFP,NP,funcat,1.00,102.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Northern studfish,Fundulus catenatus,NFP,NP,funcat,2.00,79.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Northern studfish,Fundulus catenatus,NFP,NP,funcat,3.00,78.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Northern studfish,Fundulus catenatus,NFP,NP,funcat,4.00,52.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Northern studfish,Fundulus catenatus,NFP,NP,funcat,5.00,52.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
