Season,LocationID,EventID,TransectNumber,SampleLocation,ChannelType,FilaAlgae,HydroMoss,Boulders,Artificial,SmallWoodDeb,LargeWoodDeb,TreesRoots,OverhangVeg,UndercutBank,Bluff,Comment,DETimeStamp
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,1,L,main,0,0,1,0,0,0,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,1,M,main,0,0,1,0,0,0,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,1,R,main,0,1,0,0,0,0,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,2,L,main,0,0,0,0,0,0,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,2,M,main,0,0,0,0,0,0,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,2,R,main,0,1,0,0,1,0,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,3,L,main,0,0,0,0,0,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,3,M,main,0,0,0,0,0,0,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,3,R,main,0,0,0,0,0,0,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,4,L,main,0,0,0,0,0,0,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,4,M,main,0,0,0,0,0,0,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,4,R,main,0,1,1,0,0,0,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,5,L,main,0,0,1,0,1,0,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,5,M,main,0,0,1,0,0,0,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,5,R,main,0,0,0,0,1,0,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,6,L,main,0,0,1,0,1,0,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,6,M,main,0,0,1,0,0,0,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,6,R,main,0,0,0,0,1,0,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,7,L,main,0,0,0,0,1,0,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,7,M,main,0,0,1,0,0,0,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,7,R,main,0,0,1,0,1,0,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,8,L,main,0,0,0,0,1,0,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,8,M,main,0,0,1,0,0,0,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,8,R,main,0,0,1,0,1,0,0,0,0,0,,12/3/2018
